# lon,lat,eastings (GDA94 MGA55),northings (GDA94 MGA55),mean (mm/yr),std (mm/yr)
151.19,-32.81,892394.5051,6361993.2935,11.68,2.16
150.69,-32.03,848532.8365,6450281.5725,5.26,1.15
151.40,-33.25,910028.3798,6312354.8807,40.83,9.52
149.40,-31.33,728356.6426,6531337.0983,2.68,0.51
150.54,-32.29,833406.9197,6421912.8022,1.15,0.38
150.64,-31.53,845665.8068,6505911.5704,7.29,0.56
148.60,-32.28,650675.9522,6427403.9861,10.30,0.00
149.33,-31.87,720417.9921,6471606.5227,23.10,0.01
150.10,-31.01,795982.1452,6565162.1492,1.33,0.45
150.46,-32.37,825581.3273,6413284.2875,2.90,0.85
150.67,-31.56,848404.7875,6502488.1977,21.22,0.60
149.62,-31.39,749137.3643,6524206.7349,2.80,0.52
150.64,-32.31,842755.1668,6419378.0695,3.52,0.01
148.62,-32.23,652643.2868,6432919.0177,6.39,0.34
150.59,-31.48,841096.6514,6511615.2024,5.01,0.75
151.25,-33.24,896084.8904,6314044.8310,100.04,30.18
149.99,-30.31,787542.5594,6643074.6835,2.27,1.00
151.04,-33.41,875768.2212,6295956.9335,108.95,21.53
148.63,-32.27,653518.2998,6428470.1080,6.64,1.11
148.61,-32.27,651634.4235,6428498.5546,5.90,1.02
150.69,-32.55,846545.2047,6392589.1713,5.32,1.25
150.46,-32.38,825545.4115,6412174.9287,1.85,0.04
148.74,-32.40,663645.5771,6413894.2202,4.72,1.27
151.19,-32.89,892041.6772,6353114.8733,9.27,2.00
149.83,-30.33,772093.9681,6641251.9839,5.89,2.90
148.62,-32.28,652559.6175,6427375.7106,5.60,1.11
151.40,-33.43,909183.4388,6292375.5224,392.87,2.16
149.94,-30.31,782732.0526,6643200.4312,3.08,0.94
149.96,-30.32,784627.3012,6642041.5225,6.25,0.98
151.01,-32.70,875988.7598,6374855.0967,2.83,1.25
150.45,-32.24,825104.5006,6427736.2169,1.76,0.63
150.67,-32.14,846226.8344,6438142.2406,1.96,0.42
151.36,-33.39,905647.1313,6296972.3979,447.69,2.45
150.62,-32.16,841432.3868,6436083.3583,5.76,0.94
150.10,-31.06,795827.3139,6559617.0364,1.51,0.39
149.89,-30.54,777269.6509,6617820.6250,0.94,0.88
150.49,-32.18,829092.2175,6434270.3545,2.92,0.83
149.93,-30.20,782084.5153,6655422.5941,5.29,1.11
149.98,-30.25,786755.0909,6649753.2258,5.39,0.85
149.93,-30.39,781540.5472,6634354.4894,2.25,0.54
151.38,-33.38,907556.1147,6298004.0354,584.33,0.00
150.64,-31.54,845628.8954,6504802.2066,1.40,0.70
149.76,-31.01,763506.9927,6566018.4897,3.84,0.69
151.41,-33.41,910208.4235,6294555.9762,421.06,2.23
150.01,-30.25,789643.1976,6649677.1015,6.53,1.10
150.01,-32.25,783593.0234,6427875.9009,2.19,0.47
149.87,-30.67,774982.1172,6603454.5423,1.33,0.50
149.98,-30.31,786580.4495,6643100.0032,2.59,0.97
149.79,-32.18,763059.5975,6436199.6491,2.96,1.07
150.57,-32.18,836640.0841,6434022.3739,2.10,0.67
151.45,-33.39,914027.1913,6296617.1243,16.16,6.93
150.41,-31.42,824191.7395,6518817.1250,3.41,0.82
148.61,-32.24,651684.3150,6431824.5318,4.06,0.65
151.40,-33.05,910962.4541,6334553.8894,14.47,6.06
150.33,-32.22,813859.7405,6430312.2910,3.26,1.04
148.60,-32.26,650709.0201,6429621.3044,22.00,0.27
150.59,-31.59,840696.2273,6499412.5065,1.27,0.51
149.96,-31.05,782491.2217,6561091.0134,3.05,0.93
151.39,-33.48,908017.8714,6286865.0958,158.61,1.64
151.20,-32.88,893022.2798,6354187.3892,9.18,1.98
151.41,-33.10,911663.6281,6328964.8628,11.03,8.88
149.96,-30.16,785089.3210,6659783.2110,2.23,0.26
149.97,-30.73,784391.2086,6596551.6356,1.39,0.83
149.93,-30.34,781683.9971,6639898.7713,38.20,0.75
151.41,-33.41,910208.4235,6294555.9762,421.06,2.23
151.42,-33.42,911092.0812,6293406.4177,29.44,6.27
151.39,-33.39,908440.4402,6296854.7850,27.90,4.89
148.64,-32.29,654426.3361,6426238.4125,18.37,0.45
150.05,-31.03,791145.1879,6563076.3408,1.49,0.48
150.05,-31.10,790931.7455,6555313.3283,15.75,0.24
148.61,-32.25,651667.6891,6430715.8743,4.60,0.67
150.68,-32.96,844022.5141,6347131.7371,12.92,3.09
150.25,-33.59,801627.9096,6278566.6062,31.45,12.63
151.44,-33.37,913190.8958,6298876.9418,387.56,2.69
150.31,-33.72,806736.5490,6263967.2907,53.43,11.12
149.97,-30.33,785560.2563,6640907.4970,45.17,0.44
151.43,-33.41,912070.2437,6294476.7323,22.94,5.25
151.49,-33.07,919280.3464,6331977.2166,12.96,4.89
150.10,-31.00,796013.0844,6566271.1681,1.08,0.46
151.42,-33.42,911092.0812,6293406.4177,29.44,6.27
151.29,-33.25,899769.8874,6312782.2524,82.60,31.44
148.60,-32.26,650709.0201,6429621.3044,22.00,0.27
149.22,-32.20,709257.2125,6435234.5358,1.76,0.45
149.98,-31.08,784311.3853,6557713.0083,3.27,1.46
148.62,-32.28,652559.6175,6427375.7106,5.60,1.11
150.41,-32.24,821333.2312,6427856.8013,2.83,0.73
150.67,-32.52,844780.6395,6395982.6595,4.45,0.95
150.32,-32.24,812848.1221,6428122.9549,2.87,0.77
149.95,-30.39,783463.1577,6634304.5375,2.27,0.86
149.83,-30.31,772149.3095,6643469.5894,6.07,2.46
149.96,-30.21,784945.1784,6654238.9675,5.72,1.27
150.60,-32.03,840027.0478,6450568.9519,7.91,1.66
151.32,-33.41,901830.4759,6294908.1087,93.27,13.78
150.60,-32.04,839990.0242,6449459.5576,19.09,0.00
150.49,-32.18,829092.2175,6434270.3545,2.92,0.83
149.90,-30.60,778058.0443,6611142.7540,1.57,0.71
151.45,-33.40,913979.6438,6295507.1263,16.80,6.65
148.61,-32.26,651651.0586,6429607.2153,5.32,0.78
150.59,-31.57,840769.1251,6501631.1880,2.87,0.44
150.59,-31.57,840769.1251,6501631.1880,2.87,0.44
149.32,-31.80,719637.6278,6479388.4200,1.57,0.66
150.10,-31.03,795920.2397,6562944.1077,2.12,0.54
151.36,-33.36,905786.7965,6300302.2283,33.18,11.56
149.93,-30.76,780472.3604,6593325.8263,0.94,0.46
149.85,-30.87,772500.2670,6581325.9960,3.65,0.71
149.09,-32.11,697194.7874,6445459.2630,1.62,0.22
149.85,-32.17,768748.2063,6437160.2380,4.31,1.04
150.45,-33.73,819679.0972,6262432.2185,28.94,5.64
150.87,-32.06,865426.0833,6446356.7891,2.64,0.57
150.83,-32.02,861804.2083,6450929.8873,4.53,1.32
151.02,-32.65,877137.5484,6380367.9637,7.12,0.38
150.86,-31.98,864798.7522,6455266.9697,29.21,0.20
150.48,-31.39,830955.8786,6521935.9433,20.35,0.07
149.77,-32.24,761001.6146,6429594.2842,5.78,1.47
150.83,-32.02,861804.2083,6450929.8873,4.53,1.32
150.86,-31.97,864838.3961,6456376.5024,7.37,0.15
149.77,-32.24,761001.6146,6429594.2842,5.78,1.47
150.36,-32.56,815502.5111,6392507.5542,9.89,2.39
150.35,-32.55,814598.0039,6393646.5194,9.70,2.37
150.82,-31.98,861015.9662,6455401.4458,5.79,1.90
150.82,-31.96,861094.4171,6457620.4643,7.28,2.23
150.08,-32.62,789006.5325,6386648.7240,4.83,0.93
150.69,-32.50,846737.5668,6398136.6386,3.86,0.94
150.81,-31.95,860187.6322,6458763.3541,8.02,2.66
150.80,-32.06,858812.0119,6446592.1338,3.49,1.00
150.74,-32.25,852409.6118,6425710.2505,1.68,0.31
149.99,-32.53,780838.9869,6396872.6723,5.06,1.15
150.86,-32.00,864719.4312,6453047.9015,4.33,1.06
150.83,-31.76,862824.4573,6479777.0752,9.33,2.47
149.77,-32.24,761001.6146,6429594.2842,5.78,1.47
150.69,-32.26,847657.2246,6424764.1229,1.20,0.40
149.95,-32.34,777662.9829,6418050.9942,2.38,0.50
151.67,-33.00,936449.8225,6339012.6003,8.80,2.13
151.94,-32.22,965742.4125,6424457.2174,37.33,0.33
150.85,-32.11,863338.0118,6440876.7836,2.51,0.03
151.69,-32.99,938370.2874,6340039.3049,58.84,0.76
150.46,-31.27,829471.2415,6535306.9657,2.68,0.47
151.94,-32.12,966253.3636,6435559.7175,9.44,0.48
150.00,-32.54,781747.3489,6395737.0721,5.08,1.24
150.86,-32.01,864679.7540,6451938.3660,4.40,1.13
151.96,-32.12,968143.0858,6435472.6941,2.51,0.59
150.71,-32.27,849504.2777,6423589.5644,1.21,0.41
150.81,-32.08,859678.4008,6444339.7508,2.77,0.70
149.77,-32.24,761001.6146,6429594.2842,5.78,1.47
151.05,-32.54,880419.5649,6392467.4694,35.64,0.00
149.95,-32.36,777601.8153,6415832.7571,2.45,0.55
151.96,-32.12,968143.0858,6435472.6941,2.51,0.59
150.81,-32.10,859599.8930,6442120.7202,2.49,0.59
150.67,-32.47,844971.7967,6401530.0585,9.63,0.47
151.96,-32.14,968040.5925,6433252.1685,6.79,0.56
150.82,-32.35,859556.6958,6414348.9010,1.92,0.45
151.94,-32.12,966253.3636,6435559.7175,9.44,0.48
151.95,-32.13,967147.0862,6434405.9948,2.59,0.70
151.96,-32.12,968143.0858,6435472.6941,2.51,0.59
151.94,-32.14,966151.2870,6433339.2211,2.59,0.71
150.67,-32.43,845124.5331,6405967.9590,22.47,0.23
151.96,-32.14,968040.5925,6433252.1685,6.79,0.56
150.71,-32.33,849273.6221,6416932.6781,1.70,0.39
151.95,-32.13,967147.0862,6434405.9948,2.59,0.70
151.96,-32.12,968143.0858,6435472.6941,2.51,0.59
150.68,-32.51,845759.0015,6397059.6886,3.77,0.80
151.96,-32.14,968040.5925,6433252.1685,6.79,0.56
150.82,-32.38,859437.7183,6411020.2577,2.22,0.52
150.79,-32.06,857867.1639,6446625.4020,3.32,0.98
150.84,-32.00,862828.4415,6453115.3385,4.52,1.52
149.95,-32.35,777632.4033,6416941.8762,2.33,0.52
150.83,-32.16,861251.7550,6435396.5152,1.79,0.16
151.03,-32.57,878413.4217,6389209.8369,1.94,0.11
151.06,-32.41,881909.3377,6406857.6550,4.14,1.34
149.80,-32.39,763394.3723,6412885.1342,4.42,1.24
149.95,-32.35,777632.4033,6416941.8762,2.33,0.52
149.89,-32.35,771983.5599,6417096.0557,2.54,0.54
149.88,-32.34,771071.9505,6418230.5317,2.52,0.55
150.33,-32.55,812718.9076,6393705.5233,9.16,2.14
150.45,-32.54,824029.7105,6394455.5524,9.25,2.15
150.69,-32.50,846737.5668,6398136.6386,3.86,0.94
149.86,-32.31,769277.7135,6421608.2658,2.97,0.44
149.87,-32.32,770189.8601,6420473.9911,2.75,0.54
149.87,-32.33,770160.1286,6419364.9097,2.72,0.56
150.37,-32.58,816371.6323,6390259.1523,6.03,1.21
151.86,-32.75,955505.0085,6365961.3227,301.88,2.42
150.12,-32.54,793021.8790,6395412.8766,14.82,4.29
150.94,-31.79,873131.5445,6476075.6408,9.25,2.29
151.94,-32.01,966813.7691,6447772.4158,5.71,1.86
150.11,-32.36,792664.3810,6415406.0056,2.33,0.35
150.80,-31.93,859319.6157,6461015.6380,6.27,0.95
150.99,-32.59,874571.5172,6387132.3525,2.55,0.06
151.02,-32.68,877011.2726,6377038.8986,11.39,1.28
149.98,-32.36,780425.9739,6415754.4629,2.32,0.60
149.98,-32.44,780178.4658,6406881.3597,4.44,0.82
150.13,-32.39,794449.8345,6412023.4688,2.57,0.36
150.82,-32.03,860819.6463,6449853.8826,9.41,0.42
150.69,-32.55,846545.2047,6392589.1713,5.32,1.25
150.69,-32.52,846660.6536,6395917.6548,3.45,0.58
150.86,-32.15,864123.1070,6436404.7683,28.83,0.08
150.13,-32.38,794482.3218,6413132.6711,3.37,0.72
150.46,-32.51,825077.6041,6397753.1624,8.26,1.79
150.37,-32.64,816160.4038,6383603.1040,6.36,1.66
150.46,-32.46,825257.7284,6403300.0180,17.59,0.74
150.70,-32.41,848024.3167,6408089.4380,28.51,0.00
149.98,-32.45,780147.4888,6405772.2160,4.74,0.95
150.47,-32.46,826198.2694,6403269.4523,6.35,1.18
150.16,-31.01,801713.5501,6565000.6816,1.48,0.43
150.46,-32.51,825077.6041,6397753.1624,8.26,1.79
149.98,-32.46,780116.5033,6404663.0710,5.02,1.03
150.02,-32.53,783657.8721,6396793.0976,5.77,1.17
150.14,-30.46,801513.1619,6626050.2047,37.75,0.29
150.86,-31.86,865273.7442,6468581.2985,10.40,2.97
150.80,-32.38,857554.6579,6411087.4160,2.33,0.53
150.13,-30.76,799626.0851,6592807.2880,0.72,0.00
150.85,-32.21,862940.5562,6429781.3368,1.76,0.47
150.86,-32.05,864520.9341,6447500.2144,11.12,0.56
150.48,-32.48,827066.3767,6401020.0392,6.97,1.37
151.02,-32.58,877431.7894,6388135.7507,4.00,1.00
150.14,-32.44,795227.8797,6406449.8028,4.21,0.71
150.13,-32.38,794482.3218,6413132.6711,3.37,0.72
150.36,-32.55,815537.5581,6393616.8844,9.66,2.36
150.36,-32.56,815502.5111,6392507.5542,9.89,2.39
150.79,-32.31,856888.4060,6418887.5669,17.02,0.00
150.12,-32.56,792956.8175,6393194.4399,10.46,3.23
150.67,-32.49,844895.3653,6399311.1020,2.87,0.30
150.70,-32.45,847870.4108,6403651.4820,2.46,0.12
151.29,-32.56,902890.7201,6389363.0121,20.73,2.84
150.70,-32.42,847985.8561,6406979.9505,20.68,0.17
150.86,-31.98,864798.7522,6455266.9697,29.21,0.20
150.85,-32.15,863179.1624,6436438.6165,1.97,0.44
150.59,-32.35,837895.4159,6415099.4678,2.69,0.64
150.86,-32.26,863684.2155,6424199.6669,1.94,0.39
150.13,-32.38,794482.3218,6413132.6711,3.37,0.72
150.36,-32.52,815642.6414,6396944.8681,9.04,2.01
150.81,-31.99,860031.1431,6454325.3399,5.17,1.69
150.90,-32.22,867616.8874,6428501.4642,18.44,0.23
150.86,-32.52,862641.5073,6395350.7832,5.61,1.64
150.95,-32.53,871061.3071,6393930.6525,3.63,0.81
151.05,-32.54,880419.5649,6392467.4694,35.64,0.00
150.65,-32.42,843280.6033,6407141.9759,2.59,0.52
150.86,-31.94,864957.2609,6459705.0946,7.51,2.05
150.80,-32.46,857238.5744,6402211.0789,3.15,0.69
150.88,-32.21,865770.5360,6429679.4253,18.02,0.21
150.48,-32.48,827066.3767,6401020.0392,6.97,1.37
150.85,-32.15,863179.1624,6436438.6165,1.97,0.44
150.24,-32.40,804768.9220,6410605.6121,2.73,0.24
150.67,-32.47,844971.7967,6401530.0585,9.63,0.47
150.66,-32.35,844487.7247,6414875.9894,2.40,0.57
150.54,-32.35,833186.7570,6415256.4418,1.91,0.49
150.69,-32.50,846737.5668,6398136.6386,3.86,0.94
151.85,-32.74,954617.7767,6367114.6474,19.15,9.76
150.68,-32.53,845682.2767,6394840.7133,5.25,1.11
150.86,-32.24,863764.1138,6426418.7849,1.81,0.49
150.53,-32.38,832135.1326,6411959.3918,3.22,0.90
150.69,-32.50,846737.5668,6398136.6386,3.86,0.94
150.15,-31.00,800789.7451,6566136.8524,1.35,0.43
150.67,-32.44,845086.3648,6404858.4854,22.42,0.03
150.46,-32.45,825293.7235,6404409.3858,12.64,0.44
150.69,-32.50,846737.5668,6398136.6386,3.86,0.94
150.81,-34.45,850072.6249,6181357.0442,79.07,26.76
150.72,-32.32,850254.2030,6418009.4562,1.58,0.24
150.28,-33.12,806056.3406,6330619.9243,5.64,0.19
150.09,-32.60,790009.7884,6388839.8761,5.08,1.18
150.85,-32.11,863338.0118,6440876.7836,2.51,0.03
151.05,-32.54,880419.5649,6392467.4694,35.64,0.00
150.76,-31.99,855303.3099,6454491.0438,31.20,0.35
149.90,-32.50,772473.1296,6400433.9728,4.08,0.77
150.45,-32.54,824029.7105,6394455.5524,9.25,2.15
150.86,-31.97,864838.3961,6456376.5024,7.37,0.15
150.38,-32.58,817310.8805,6390229.3255,7.85,1.87
150.26,-33.12,804189.3238,6330678.2092,4.39,0.69
150.19,-31.07,804388.0726,6558264.3737,1.66,0.36
150.32,-32.49,811986.9353,6400390.7342,6.38,1.29
150.15,-31.00,800789.7451,6566136.8524,1.35,0.43
151.01,-32.65,876198.7503,6380403.5145,3.83,1.78
150.77,-32.21,855394.1538,6430049.2145,1.55,0.47
150.16,-31.02,801682.0008,6563891.6315,1.67,0.45
149.88,-32.33,771101.7942,6419339.6186,2.57,0.54
150.71,-32.26,849542.6830,6424699.0419,1.18,0.42
151.63,-32.79,933733.4898,6362489.9600,8.67,1.94
150.23,-31.13,808012.7588,6551499.2707,1.83,0.42
151.02,-32.65,877137.5484,6380367.9637,7.12,0.38
151.10,-32.48,885375.9955,6398945.6896,3.38,0.76
150.05,-30.15,793791.2811,6660663.3721,4.42,1.18
150.00,-32.75,781088.8470,6372444.3348,4.05,0.97
150.53,-32.38,832135.1326,6411959.3918,3.22,0.90
149.89,-32.32,772073.4027,6420423.3291,2.57,0.47
150.07,-30.24,795449.4868,6650631.4694,6.32,2.20
150.83,-32.05,861686.0073,6447601.3236,18.11,0.42
149.86,-32.60,768415.4207,6389444.5264,4.40,0.97
150.20,-31.07,805342.7334,6558236.8711,1.66,0.37
150.14,-31.01,799803.0646,6565054.8492,1.47,0.44
150.12,-30.96,798048.2030,6570653.8039,1.66,0.68
150.81,-32.07,859717.6383,6445449.2646,2.92,0.77
150.81,-32.36,858575.3064,6413272.9666,2.05,0.48
150.05,-32.59,786285.9465,6390057.5939,8.17,2.12
150.07,-32.36,788898.6495,6415514.8127,2.73,0.61
150.73,-34.50,842513.4578,6176082.6052,82.57,21.43
150.86,-31.98,864798.7522,6455266.9697,29.21,0.20
149.90,-32.32,773015.1794,6420397.8658,2.58,0.46
149.95,-30.76,782387.6572,6593275.5175,1.48,0.86
150.17,-30.73,803551.2372,6596026.5282,3.06,2.09
150.87,-32.06,865426.0833,6446356.7891,2.64,0.57
150.23,-31.13,808012.7588,6551499.2707,1.83,0.42
149.86,-32.32,769248.0941,6420499.1898,2.89,0.57
150.14,-32.98,793452.1696,6346550.4582,2.26,0.72
149.86,-32.34,769188.8306,6418281.0340,2.89,0.58
149.87,-32.31,770219.5834,6421583.0712,2.94,0.43
151.87,-32.76,956392.0204,6364807.8945,16.12,8.92
149.24,-32.17,711212.1363,6438521.8868,2.54,0.66
150.50,-31.38,832894.3440,6522984.7583,2.31,0.49
149.99,-30.67,786484.5675,6603154.2338,4.51,2.21
150.12,-31.02,797861.4478,6563999.6417,1.43,0.43
150.26,-31.15,810809.6591,6549197.1427,1.85,0.44
150.47,-31.25,830493.8178,6537495.5015,4.27,0.42
150.87,-31.98,865744.4610,6455233.1307,5.43,1.30
150.18,-30.74,804477.7941,6594890.3448,3.94,2.22
149.76,-32.24,760059.0536,6429618.5688,5.43,1.33
150.14,-31.01,799803.0646,6565054.8492,1.47,0.44
150.80,-31.97,859163.6269,6456577.6543,5.40,1.48
150.01,-32.54,782686.8727,6395710.5429,5.59,1.32
149.76,-32.24,760059.0536,6429618.5688,5.43,1.33
150.22,-31.09,807187.6453,6555963.4302,1.88,0.39
150.69,-32.51,846699.1155,6397027.1472,3.31,0.51
149.82,-32.29,765568.6533,6423926.2769,4.34,0.97
149.77,-32.24,761001.6146,6429594.2842,5.78,1.47
150.22,-30.72,808373.3963,6596998.9342,4.45,1.84
150.14,-31.02,799771.7157,6563945.8092,2.24,0.48
149.99,-33.39,778128.1805,6301480.2310,9.45,1.96
150.00,-33.39,779058.7121,6301453.4373,9.91,2.08
150.52,-34.85,821861.6690,6137937.2878,19.05,11.52
149.99,-33.38,778160.0631,6302589.5005,8.90,1.91
150.20,-31.01,805534.5734,6564891.3110,1.55,0.40
150.12,-33.44,790058.8592,6295578.2810,16.47,7.02
150.69,-35.10,836387.8151,6109633.6054,38.10,9.46
151.27,-32.60,900832.4814,6384999.4106,5.00,1.58
150.80,-34.72,848023.6168,6151428.1218,35.60,9.99
150.05,-30.25,793494.0677,6649574.4124,6.14,2.50
150.49,-35.28,817445.4642,6090317.1736,22.12,15.39
150.83,-34.62,851195.2464,6162421.5327,101.67,1.17
150.58,-35.02,826674.5357,6118877.7964,12.62,4.37
150.22,-31.01,807445.1113,6564836.1079,1.86,0.61
150.71,-34.55,840472.0814,6170601.7110,10.11,2.78
150.75,-34.48,844433.3102,6178234.0257,13.34,8.85
150.73,-34.51,842472.4749,6174972.8858,13.25,6.01
150.79,-34.46,848192.4076,6180316.3859,427.13,2.02
150.21,-31.00,806521.8811,6565972.8269,2.75,1.20
150.20,-31.01,805534.5734,6564891.3110,1.55,0.40
150.81,-34.72,848939.9450,6151393.4104,151.20,8.08
150.20,-33.56,797088.4850,6282039.4654,7.06,2.61
150.84,-34.72,851688.9520,6151288.7262,21.79,5.21
150.78,-34.47,847231.7185,6179241.0571,92.60,3.56
150.22,-33.09,800557.5961,6334121.6992,2.78,0.46
150.24,-33.03,802630.7679,6340720.1633,1.74,0.78
150.11,-32.96,790712.9497,6348852.3481,2.13,0.89
150.74,-34.50,843432.1943,6176048.6342,10.19,5.57
150.21,-31.01,806489.8401,6564863.7526,1.96,0.72
150.21,-31.00,806521.8811,6565972.8269,2.75,1.20
149.90,-32.36,772894.9567,6415961.4818,1.40,0.73
149.90,-32.36,772894.9567,6415961.4818,1.40,0.73
150.09,-32.50,790331.9577,6399931.9261,13.01,1.63
150.21,-31.00,806521.8811,6565972.8269,2.75,1.20
150.21,-31.00,806521.8811,6565972.8269,2.75,1.20
150.58,-35.09,826395.3929,6111109.7990,8.86,3.43
150.94,-32.28,871145.1966,6421705.9879,1.22,0.68
150.08,-32.49,789424.0501,6401068.3398,4.71,1.61
150.12,-32.51,793119.4042,6398740.5223,12.29,4.52
150.57,-35.17,825164.5494,6102264.8130,10.55,4.13
151.52,-32.83,923229.6163,6358496.9126,17.41,7.23
150.09,-32.56,790138.7623,6393276.7111,13.84,2.75
150.59,-35.17,826987.0047,6102199.1359,135.54,3.97
150.20,-33.55,797122.7683,6283148.8431,10.45,3.52
151.21,-32.62,895107.8130,6383004.9690,2.51,1.74
150.08,-32.59,789103.0149,6389976.3465,10.44,3.30
150.94,-32.28,871145.1966,6421705.9879,1.22,0.68
150.55,-35.20,823223.0964,6099000.9729,11.30,3.92
150.62,-35.10,830003.5510,6109868.1052,9.42,4.56
150.12,-32.53,793054.3963,6396522.0931,16.91,4.92
150.91,-32.14,868883.2544,6437343.7813,17.15,0.44
150.12,-32.53,793054.3963,6396522.0931,16.91,4.92
150.70,-34.75,838737.8702,6148441.0058,86.29,20.27
151.39,-32.93,910584.4669,6347912.2634,6.17,1.53
151.19,-32.54,893579.6449,6391957.5722,4.73,1.64
150.10,-32.57,791045.7754,6392140.1647,13.47,3.15
150.08,-32.58,789135.1581,6391085.5515,13.37,3.48
150.12,-32.53,793054.3963,6396522.0931,16.91,4.92
150.05,-32.84,785487.3843,6362327.3853,3.67,0.84
150.79,-34.65,847400.1436,6159231.0986,1049.00,0.00
150.73,-34.55,842308.4390,6170533.9978,216.07,1.86
150.51,-35.09,820010.6075,6111337.1849,15.48,9.08
150.72,-34.55,841390.2583,6170567.9001,9.31,2.54
150.70,-34.75,838737.8702,6148441.0058,86.29,20.27
151.27,-32.60,900832.4814,6384999.4106,5.00,1.58
150.09,-32.56,790138.7623,6393276.7111,13.84,2.75
150.74,-34.77,842319.0051,6146085.7209,761.00,0.00
150.75,-34.58,844021.0119,6167136.7148,98.46,3.20
151.52,-32.83,923229.6163,6358496.9126,17.41,7.23
150.79,-34.59,847650.7458,6165889.6504,8.51,3.64
150.72,-34.55,841390.2583,6170567.9001,9.31,2.54
150.78,-34.61,846649.7144,6163704.6155,15.19,5.99
150.60,-35.10,828179.5065,6109934.2769,8.17,4.03
151.27,-32.89,899532.6265,6352814.0061,2.03,1.11
150.74,-34.63,842897.1658,6161622.1416,31.31,9.33
150.68,-34.78,836783.8687,6145179.1737,34.64,8.12
150.22,-31.02,807412.9608,6563727.0273,1.58,0.56
150.60,-35.10,828179.5065,6109934.2769,8.17,4.03
150.70,-34.76,838696.9597,6147331.2734,36.10,7.37
150.36,-35.46,804937.4011,6070752.1349,7.93,2.21
151.31,-32.63,904455.0728,6381517.9642,1.66,1.96
150.74,-34.54,843267.7585,6171609.7322,9.23,2.33
150.71,-34.58,840349.6079,6167272.5609,11.87,4.02
150.85,-34.57,853242.1682,6167900.4789,7.13,2.62
150.98,-32.29,874874.5376,6420456.9553,1.06,0.69
151.36,-32.66,909013.9726,6377996.3523,1.36,1.52
150.20,-33.57,797054.1927,6280930.0865,6.24,2.49
150.10,-34.71,783923.6060,6154739.8651,6.35,2.06
150.68,-35.08,835557.8307,6111886.9008,42.29,13.23
150.12,-33.46,789992.1980,6293359.6190,19.32,6.63
150.67,-34.76,835949.4400,6147432.1620,51.46,12.94
150.16,-33.10,794921.3719,6333182.8793,2.58,0.58
150.00,-30.34,788416.6464,6639722.6209,7.78,1.09
150.23,-31.03,808335.8761,6562590.2043,1.30,0.48
150.82,-34.65,850151.4567,6159127.0600,849.36,1.92
150.10,-34.76,783752.4202,6149192.4294,4.22,0.97
150.16,-33.08,794988.2443,6335401.4853,2.35,0.53
149.98,-32.99,778462.0756,6345876.5405,2.84,0.77
150.67,-34.79,835827.6465,6144102.9978,62.48,7.78
151.40,-32.87,911798.8378,6354532.7475,4.18,1.36
150.00,-30.36,788357.9176,6637504.8428,2.00,1.17
150.80,-34.75,847897.6173,6148098.7970,175.32,5.37
150.79,-34.59,847650.7458,6165889.6504,8.51,3.64
150.73,-34.77,841403.2581,6146119.8132,632.81,1.84
150.36,-35.45,804975.1923,6071861.8088,8.53,2.39
150.54,-34.93,823377.0984,6128995.3636,5.50,5.85
150.01,-30.29,789525.6294,6645241.5646,3.83,0.76
150.10,-34.76,783752.4202,6149192.4294,4.22,0.97
150.78,-34.49,847148.7021,6177021.5778,350.21,1.12
150.65,-34.77,834077.4127,6146389.2513,78.50,31.51
150.76,-34.76,844192.0975,6147127.0214,718.11,0.09
151.36,-32.85,908144.0441,6356908.3097,2.19,1.21
150.78,-34.59,846732.9848,6165924.1195,7.82,3.58
150.12,-33.43,790092.1765,6296687.6101,12.22,5.56
149.87,-32.37,770041.1201,6414928.5708,2.71,0.60
150.10,-34.75,783786.6746,6150301.9191,4.75,1.08
150.17,-33.01,796156.6509,6343138.4115,2.18,0.60
150.63,-31.37,845303.1198,6523692.7288,6.86,1.51
150.73,-31.52,854255.7471,6506732.9457,8.05,1.32
150.66,-31.27,848527.5200,6534691.5638,5.52,1.07
150.69,-31.50,850529.1360,6509080.5915,6.73,0.96
150.74,-31.51,855244.0180,6507809.9294,5.96,1.00
150.65,-31.39,847133.1008,6521410.9789,7.62,1.47
151.96,-32.29,967270.0752,6416598.1706,19.29,15.53
151.41,-32.66,913708.3689,6377802.0854,6.69,1.86
150.05,-30.52,792687.1283,6619633.6139,14.18,0.43
150.62,-31.37,844351.2871,6523724.1198,7.32,1.77
150.24,-31.00,809388.0084,6565889.6494,1.65,0.40
150.65,-31.34,847317.2691,6526957.7384,5.53,0.90
151.95,-32.30,966275.6085,6415531.5872,9.95,3.43
151.94,-32.31,965281.3431,6414464.9290,13.93,14.29
150.03,-30.53,790737.1790,6618576.4754,11.57,0.16
150.23,-30.99,808464.8601,6567026.5449,1.15,0.21
150.93,-32.36,869876.5138,6412863.7740,5.56,0.62
150.72,-31.45,853569.0989,6514531.1220,4.48,1.70
150.25,-30.98,810408.2480,6568079.9372,0.48,0.10
150.25,-30.98,810408.2480,6568079.9372,0.48,0.10
150.69,-31.50,850529.1360,6509080.5915,6.73,0.96
150.24,-31.00,809388.0084,6565889.6494,1.65,0.40
150.25,-30.99,810375.8253,6566970.8447,1.00,0.23
